Quality	#1 ID	#2 ID	#1 String	#2 String
0	2254641	2254589	One thing is clear: even if we achieve an excellent arrangement within the European Union, the traffic does not stop at our borders, it exceeds them.	For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them.
1	781342	781555	Is state aid to business or business-to-business agreements legitimate in a market economy and must these exceptions to the absolute rules of the market economy be controlled?	Is State aid to enterprises or inter - company agreements legitimate in a market economy and which must control these exceptions to the absolute rules of the market economy?
0	2396342	2396238	This seems to me to be a viable solution.	This seems to me to be a workable solution.
0	354039	353906	In particular, the annexes can not be adapted to take account of technical and industrial developments.	In particular, annexes cannot be adapted to take account of technical and industrial developments.
1	2815623	2815848	All the contributions of the parliamentary committee and the rapporteur, Mr Koch, which resulted in various amendments, including four, have been taken over by the Commission.	All the contributions of the parliamentary committee and the rapporteur, Mr Koch, which resulted in various amendments, in particular four, have been taken over by the Commission.
1	1708629	1708560	That being said, if certain amendments, including those of the EPP parliamentary group, were approved, we would consider that the report would be flawed, that it would be a contradictory document, devoid of rigor, and that we would reconsider our support .	That said, if certain amendments, including those tabled by the EPP parliamentary group, were approved, we would consider that the report would be distorted, that it would be a contradictory document, devoid of rigor, and we would then reconsider our support .
1	3065731	3065834	Dear colleague, we will check all that.	Dear colleague we will check all that.
1	749633	749912	However, we have now reached a stage where we must continue to develop a competition policy.	However, we have now reached a stage where we need to continue to develop competition policy.
1	1466172	1466251	Indeed, it is they who are most in a position to know the regions under their responsibility.	Indeed, it is they who are most in a position to know the regions under their responsibility.
0	701402	701449	This is particularly necessary with regard to the forthcoming enlargement of the Union, and I would like to thank Mr Jonckheer, who in his report has thoroughly examined the problems related to enlargement and has ensured that the candidate countries meet to our criteria. as well as the guarantee of common conditions of competition.	This is especially necessary in relation to the forthcoming enlargement of the Union, and I should like to thank Mr Jonckheer who, in his report, has considered very thoroughly the problems associated with enlargement and with ensuring that the applicant countries are able to meet our criteria, as well as with ensuring common conditions of competition.
0	3076578	3076653	By entrepreneurship, I'm not just talking about corporate ownership, but about will.	By entrepreneurship I do not simply mean the ownership of business, but creating will.
1	358546	358608	In the Committee on Economic and Monetary Affairs, the Jonckheer report has provoked fierce controversy over the functioning of the market.	In the Committee on Economic and Monetary Affairs, the Jonckheer report has provoked bitter controversy over the functioning of the market.
1	1194276	1193886	Or the boatmen and their ships from Eastern Europe moor their boats side by side, which makes the dangerous situations even more obvious.	Or boatmen and their Eastern European ships mooring their boats side by side, making the dangerous situations all the more obvious.
1	2383845	2383877	As part of these means, competition policy has contributed to this event.	As part of these means, competition policy has contributed to this event.
0	1777871	1777960	Firstly, we are concerned about the proper use of the Structural and Cohesion Funds.	Firstly, we are concerned with the proper use of the Structural and Cohesion Funds.
0	2290718	2290988	We do not want to unilaterally increase the conditions of competition for certain countries and improve them for countries such as Austria or other transit countries.	We do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries such as Austria or other transit countries.
0	3046158	3046275	The Commission document due to be ready in December 1999 was postponed to January and February, and the initial reflections do not make me very optimistic.	The Commission document expected to be ready in December 1999 was delayed until January, then February, and the initial thinking does not fill me with much optimism.
1	3015236	3015328	That is why the positive development of the regions is also possible because, I am sure, people make efforts and work if the opportunity arises.	This is why the positive development of the regions is also possible because, I am sure, people make efforts and work if given the opportunity.
1	405201	405182	That is why one of the most important and transcendent goals we should set ourselves in the European Union would be to concentrate our efforts on creating new jobs in rural areas, outside the agricultural sector, in sectors such as rural tourism, sport, culture and heritage. restoration, creation, reconversion of companies, new technologies, services, etc. However, while it is true that the role of agriculture is not exclusive, it is essential not only to avoid the economic and social disintegration of rural areas and the creation of new ghost towns, but also because farmers play a fundamental role in the management of the territory, the preservation of biodiversity and the protection ofenvironment.   	That is why one of the most important and transcendent goals we should set ourselves in the European Union would be to focus our efforts on creating new jobs in rural areas, outside the agricultural sector, in sectors such as rural tourism, sport, culture, heritage restoration, establishment, conversion of companies, new technologies, services, etc. However, while it is true that the role of agriculture is not exclusive, essential not only to avoid the economic and social disintegration of rural areas and the creation of new ghost towns, but also because farmers play a fundamental role in the management of the territory, the preservation of biodiversity and the protection of the environment.
1	2164195	2164454	I propose that we vote on the request of the Socialist Group to reinstate the Commission's statement on its strategic objectives.	I propose that we vote on the request of the Socialist Group to reinstate the Commission's statement on its strategic objectives.
1	2501607	2501591	Madam Rapporteur, you have basically said that the role of the guidelines is to provide guidelines on a number of European objectives, which are often very specific.	On the merits now, concerning the role of the guidelines, Madam Rapporteur, you have pointed out that it is in this context that it is a question of providing guidelines on a certain number of European objectives, which are often very specific.
0	1571089	1571025	I say this in case there is any doubt about the criticisms we have made to the Commission in general, and to Mr Monti in particular, for its persecution of the incentives offered to Basque companies and the fact that it regards them as State aid.	I say this in case there is any doubt about the criticisms which we have directed at the Commission in general, and Mr Monti, in particular, for its persecution of the incentives to Basque companies and the fact that it considers them to be state aid.
1	921805	921755	Only, no acceptance without transparency and, likewise, no modernization without transparency.	Only, no acceptance without transparency and, likewise, no modernization without transparency.
0	2338980	2338968	Why has the health and safety committee not met since 1998?	Why has there been no Health and Safety Committee meeting since 1998?
0	3332052	3331940	I would like to mention one last point.	I would like to mention one final point.
0	1953719	1953643	Therefore, we will have to see how the requirements guaranteeing the maximum degree of security can be further improved.	Therefore, we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved.
0	1308432	1308295	I propose that we vote on the request of the Group of the Party of European Socialists to reinstate the Commission statement on its strategic objectives.	I propose that we vote on the request of the Group of the Party of European Socialists that the Commission statement on its strategic objectives should be reinstated.
0	3335514	3335455	Thirdly, we generally agree on the general guidelines, provided that they do not deviate from the comments we have made so far.	Thirdly, we broadly agree on the general guidelines provided they do not deviate from the comments we have made so far.
0	1424734	1424584	In fact, all hell has been unleashed in some municipalities in my province.	In fact, all hell broke loose in some municipalities in my province.
1	750991	751125	I invite you to rise for this minute of silence.	I invite you to rise for this minute of silence.
1	773545	773722	The adaptation of the law to the problems of competition must be satisfactory.	The adaptation of the law to competition issues must be satisfactory.
